,Operator,Well Name,Formation,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Date Fracd,Compl. Type,Latitude,Longitude,Fluid Type from DI,SPACING_CAPPED,12 month Cum Prod,Best1 Mo BOPD,Best3 Mo BOPD,Best6 Mo BOPD,Best9 Mo BOPD,Best12 Mo BOPD,X (feet),Y (feet),Neighbors_Count_UpToDate
4843,Operator 36,Well 4587,TFH,9687,31,150,95,32,3636047,91757,3/31/2014,Sleeves,47.76131257,-102.8700641,LINEAR GEL (HC),503.23788,130.89,658.2840237,553.6817883,477.0655271,404.5584046,356.6705019,296521.608,342114.2904,3.75
4844,Operator 41,Well 4588,MBH,10087,31,151,101,14,4014256,83684,3/12/2014,P & P,47.90455332,-103.5686644,SLICKWATER (HC),589.342145,79.57,569.2636423,383.9140916,299.7589305,242.0264446,208.7442472,150374.7802,448483.4529,0.5
4845,Operator 1,Well 4589,TFH,7604,24,153,101,16,2829582,64952,3/14/2014,P & P,48.07509352,-103.6694482,,645.19065,36.24,160.4207758,136.5987289,113.7902696,101.6034772,91.32697787,147707.9464,515901.3052,1.75
4846,Operator 22,Well 459,TFH,9306,10,163,99,19,1889545,44916.5,4/13/2010,P & P,48.92402639,-103.5906228,,654.556955,99.77,498.4220907,396.6250274,313.7793119,280.6596537,259.9276792,269640.4866,804393.4137,1
4847,Operator 1,Well 4590,MBH,7047,24,153,101,16,3013084,56607,3/14/2014,P & P,48.07519773,-103.6693547,,645.19065,83.66,322.9125575,305.5226824,272.0140259,245.361239,217.7405216,147742.4212,515929.8006,2.5
4848,Operator 18,Well 4591,MBH,9272,30,149,99,13,1606038,33735,10/8/2013,Sleeves,47.73158758,-103.3020073,CROSSLINKED (HC),660,90.72,556.7389875,454.4817006,328.9064212,270.9219081,237.2781065,191736.9945,366688.9951,1
4849,Operator 41,Well 4592,TFH,10091,31,151,101,14,5837945,128684,3/11/2014,P & P,47.90455326,-103.5687868,SLICKWATER (HC),321.46079,39.83,240.729783,168.9677844,126.4464168,109.9824677,97.2194828,150346.2207,448493.4535,1
4850,Operator 41,Well 4593,MBH,9167,29,151,101,14,5269141,198218,4/12/2014,P & P,47.90455309,-103.569154,SLICKWATER (HC),571.20627,123.72,652.5969757,545.7922419,431.6348893,354.1383593,295.7758054,150260.5435,448523.459,4
4851,Operator 1,Well 4594,TFH,12625,43,153,101,16,3937842,85599,2/27/2014,P & P,48.07530468,-103.6692613,,635.120235,52.16,219.9868508,215.4503616,175.6574622,153.802323,140.233947,147777.2076,515959.2548,0.25
4852,Operator 18,Well 4595,MBH,9967,30,149,99,13,1623032,32371,10/5/2013,Sleeves,47.73158758,-103.301804,CROSSLINKED (HC),660,92.5,647.5016437,457.1225071,336.965812,280.6925268,245.0224633,191784.6081,366672.4461,0
4853,Operator 2,Well 4596,MBH,9909,30,150,97,15,3052028,82561,9/23/2013,P & P,47.81826759,-103.07341,,503.56182,96.32,516.6995398,462.6013588,349.8301556,296.1282782,256.684199,255680.5941,378271.469,1
4854,Operator 6,Well 4597,TFH,9136,30,152,96,24,3445120,66791,7/21/2013,Sleeves,47.96427408,-102.9010783,CROSSLINKED (HC),536.231915,117.15,1003.517423,659.3688363,462.4041201,378.0626781,319.904668,313423.4601,415194.0466,0.5
4855,Operator 41,Well 4598,TFH,9220,29,151,101,14,5383141,205879,4/12/2014,P & P,47.90455303,-103.5692764,SLICKWATER (HC),490.694085,14.22,72.4852071,53.04624151,41.08042954,35.5796625,31.02125794,150231.984,448533.4598,4
4856,Operator 2,Well 4599,MBH,10312,30,150,98,14,3358147,87894,9/4/2013,P & P,47.81807354,-103.1790504,CROSSLINKED (HC),627.924035,127.6,698.3892176,629.8926145,483.3333333,401.5486887,349.8055008,230935.035,386741.2028,3.75
4857,Operator 1,Well 46,TFH,4061,15,142,101,31,1339970,26289,12/28/2011,P & P,47.0685855,-103.5215661,,424.29522,14.74,85.40433925,73.62480824,58.31689678,47.30075243,41.0338593,59827.31687,154846.0041,0
4858,Operator 1,Well 460,TFH,9610,24,160,95,9,2664620,44995,7/21/2010,P & P,48.69222534,-102.9674656,,657.424225,78.28,328.6653517,311.8452772,265.0558843,230.3090072,208.1607495,384911.4394,673930.2213,0
4859,Operator 18,Well 4600,MBH,9889,29,149,99,13,1565754,31927,10/12/2013,Sleeves,47.73158758,-103.3022106,,660,100.4,789.4477318,540.5325444,388.5765943,320.9511286,272.876945,191689.3809,366705.5442,2
4860,Operator 2,Well 4601,MBH,4782,15,151,98,9,1749108,42879,10/10/2013,OH,47.91950091,-103.2283685,CROSSLINKED (HC),660,71.7,444.9375411,331.6787201,259.0236686,218.2153554,191.598181,231609.3875,425969.0026,1
4861,Operator 23,Well 4602,MBH,9755,32,150,100,11,3597660,61943,9/23/2013,Sleeves,47.82012993,-103.4472778,,660,79.18,481.8869165,381.6020162,300.7834758,245.4744686,214.1929652,168459.3459,409265.1056,2
4862,Operator 18,Well 4603,TFH,9338,,151,98,21,1552000,48062,1/1/2013,No Data,47.87810414,-103.2387643,CROSSLINKED (HC),458.616975,79.52,477.1860618,376.6491343,276.7696691,233.7935569,203.4653737,224195.2707,412430.5218,0
4863,Operator 11,Well 4604,TFH,10125,33,150,102,12,3675649,163712,11/4/2013,Sleeves,47.82053772,-103.6841566,SLICKWATER (HC),393.67939,46.94,226.5943458,160.6070568,141.9296515,133.3917744,126.5998247,113172.6973,428826.6932,0.25
4864,Operator 4,Well 4605,MBH,8880,30,149,98,15,3517802,69283,5/11/2015,P & P (cmt.),47.73081634,-103.213888,LINEAR GEL (HC),529.289715,111.59,,,,,,212285.6585,359258.4549,1
4865,Operator 23,Well 4606,MBH,9752,32,150,100,11,3600780,63741,9/17/2013,Sleeves,47.82013133,-103.4469111,,660,70.62,371.7948718,281.3061582,233.8757396,202.4033896,179.5337497,168545.2199,409235.644,0
4866,Operator 18,Well 4607,MBH,9114,29,151,98,21,1600745,37155,9/30/2013,Sleeves,47.87810252,-103.2385604,,371.60788,106.08,863.6094675,549.4521148,385.2454526,314.9426547,272.3482358,224242.7232,412413.4368,0.25
4867,Operator 4,Well 4608,TFH,8772,30,149,98,15,3350956,68459,5/16/2015,P & P (cmt.),47.7307535,-103.2139649,LINEAR GEL (HC),394.57088,82.01,,,,,,212260.0816,359242.8745,0.5
4868,Operator 4,Well 4609,MBH,8751,30,149,98,15,3471570,55221,5/11/2015,P & P (cmt.),47.73069067,-103.2140417,LINEAR GEL (HC),487.50549,113.29,,,,,,212234.5292,359227.2895,1
4869,Operator 1,Well 461,MBH,9624,24,161,96,36,2654180,44514,9/23/2010,P & P,48.72084072,-103.0851246,,660,40.4,228.0736358,182.3142669,145.5566513,121.1885455,105.2268245,361210.8825,693233.8049,0
4870,Operator 35,Well 4610,TFH,9663,31,152,94,13,4956939,54504,11/16/2013,OH,47.99143353,-102.6430535,,545.451795,186.29,1324.391847,986.9603331,718.759588,585.930309,504.2104975,376949.104,404095.8875,0
4871,Operator 35,Well 4611,MBH,9252,31,152,94,13,4898588,53131,11/20/2013,OH,47.99135129,-102.6430529,LINEAR GEL (HC),619.322955,146.58,1038.625904,744.3239097,544.2526846,449.9159909,395.6689678,376939.5303,404067.1987,0.25
4872,Operator 11,Well 4612,TFH,8666,30,151,104,34,3188628,203410,8/21/2013,P & P,47.85121759,-103.9730846,SLICKWATER (HC),660,41.91,202.695595,161.1768573,132.6210826,121.4113522,114.0614727,49533.23406,463340.7689,0
4873,Operator 18,Well 4613,TFH,9058,10,151,98,21,585930,28542,10/3/2013,Sleeves,47.8781009,-103.2383564,LINEAR GEL (HC),536.20736,60.01,308.678501,244.8608372,192.614508,167.5323252,151.4272409,224290.1991,412396.3438,1.25
4874,Operator 45,Well 4614,MBH,8902,31,152,102,36,3671440,72735,10/4/2013,P & P,47.9359424,-103.6759464,CROSSLINKED (HC),605.63874,94.08,564.7271532,416.0311199,339.8586456,288.4871064,255.2350427,129190.0853,468167.7093,1
4875,Operator 19,Well 4615,MBH,9724,36,147,101,15,2475680,73537,9/10/2013,P & P,47.55791184,-103.5391345,,660,53.8,263.4122288,246.6579005,202.1696252,168.5696545,142.5706772,115113.1571,325845.4509,0
4876,Operator 4,Well 4616,MBH,9809,30,151,102,12,3367990,40148,8/12/2013,Sleeves,47.90688687,-103.6861677,LINEAR GEL (HC),660,87.9,627.7777778,399.3644532,321.4990138,273.694207,247.7947622,123256.5101,458931.5134,0
4877,Operator 41,Well 4617,MBH,9983,31,152,104,33,3972894,76625,7/23/2013,P & P,47.94673271,-104.0033555,CROSSLINKED (HC),660,96.7,653.9119001,448.5316678,340.9325005,292.6912119,263.9792899,54272.01241,498932.9783,0
4878,Operator 19,Well 4618,MBH,9819,36,147,102,31,2487780,68600,8/20/2013,P & P,47.50361952,-103.7282937,,660,62.13,359.1715976,256.7389875,214.732632,190.0759734,163.2286873,64100.80083,322650.4887,0
4879,Operator 4,Well 4619,MBH,9659,29,151,102,12,3292220,41877,8/13/2013,Sleeves,47.90688716,-103.6862901,,660,91.15,496.7784352,376.2656147,291.4091606,257.8384104,237.4342538,123228.008,458941.6733,1
4880,Operator 1,Well 462,TFH,9130,24,161,95,32,2528310,43135,6/18/2010,P & P,48.72113545,-103.0320623,,660,70.99,355.1610782,321.7400833,256.1253561,215.2567755,188.3053912,373477.0637,689123.4698,1
4881,Operator 36,Well 4620,TFH,9921,32,149,95,4,8055380,116127,6/8/2014,Sleeves,47.75972884,-102.8395261,CROSSLINKED (HC),660,184,785.1413544,750.3725619,660.2399737,562.3128059,483.4045584,303494.5112,339115.3871,1
4882,Operator 23,Well 4621,MBH,9543,32,150,99,13,3613660,65669,7/23/2013,Sleeves,47.81834136,-103.2992056,CROSSLINKED (HC),660,89.6,572.5180802,423.0002192,343.5294762,283.9396596,246.7291256,202860.7737,396580.5926,1.25
4883,Operator 2,Well 4622,TFH,10167,30,150,99,3,3559611,70620,5/20/2014,P & P,47.84727577,-103.3295496,CROSSLINKED (HC),540.935715,87.77,400.1643655,361.5494192,307.5060267,263.5692892,,199260.046,409093.8371,0
4884,Operator 2,Well 4623,MBH,9315,28,153,97,36,2539089,67298,1/21/2014,P & P,48.02512401,-103.1068033,,621.079985,114.29,510.7495069,461.7576156,393.611659,338.1218497,296.6168091,272674.8301,452864.8133,4.5
4885,Operator 36,Well 4624,MBH,9731,31,149,95,4,7777160,110472,6/14/2014,Sleeves,47.75972692,-102.8391843,,660,186.95,751.183432,722.9344729,681.5472277,573.1097962,497.5536927,303574.4414,339087.3323,1.5
4886,Operator 36,Well 4625,TFH,9866,32,149,95,4,8055820,116612,6/17/2014,Sleeves,47.7597263,-102.8390744,CROSSLINKED (HC),660,167.82,748.9809336,685.9960552,579.5090949,482.9461612,422.6714881,303600.1413,339078.3109,2.5
4887,Operator 23,Well 4626,MBH,9497,32,150,99,13,3556900,61891,7/26/2013,Sleeves,47.81834284,-103.2993889,CROSSLINKED (HC),660,103.83,666.7324129,471.0607057,377.953101,325.1954124,285.7193732,202818.0853,396596.0042,2.25
4888,Operator 2,Well 4627,MBH,9843,30,150,99,3,5675557,109708,6/7/2014,P & P,47.84725351,-103.3294316,,660,145.1,542.9651545,536.1275477,514.1299584,437.7346775,356.8923954,199284.9359,409076.513,1.5
4889,Operator 2,Well 4628,TFH,9305,30,150,99,3,3296415,74035,5/26/2014,P & P,47.84723399,-103.3293135,CROSSLINKED (HC),660,76.51,365.9105851,293.8746439,253.5119439,222.1016875,182.8511944,199310.1801,409060.1322,1
4890,Operator 2,Well 4629,TFH,8615,28,153,97,36,2539089,67298,1/2/2014,P & P,48.02504177,-103.1068033,CROSSLINKED (HC),537.89808,96.65,425.0493097,374.6110015,326.4080649,279.2789831,240.381876,272664.9638,452836.2214,2
4891,Operator 1,Well 463,MBH,9260,30,161,95,34,1972530,33107.5,1/6/2010,P & P,48.72108783,-102.991642,,594.575085,42.71,241.025641,198.3782599,157.3745343,132.7343122,114.21762,382789.8941,685902.5899,0.25
4892,Operator 24,Well 4630,TFH,9417,30,149,98,17,2883660,70198,12/16/2013,OH,47.7313902,-103.2535748,CROSSLINKED (HC),551.91606,74.8,639.4806049,397.2057857,283.1799255,229.7647746,197.3263204,203057.3659,362681.0911,0.25
4893,Operator 32,Well 4631,MBH,10745,30,152,96,3,3483490,56912,8/9/2013,Sleeves,48.02305103,-102.9418714,CROSSLINKED (HC),648.65877,240.18,859.5989481,813.6423406,732.1937322,675.5643217,619.2115933,310905.3343,438906.4593,0
4894,Operator 2,Well 4632,MBH,9073,30,150,99,3,3253969,74097,6/3/2014,P & P,47.84721173,-103.3291955,CROSSLINKED (HC),660,145.68,609.2044707,559.9057638,493.7047995,441.2630579,364.7079772,199335.0701,409042.8082,0.5
4895,Operator 2,Well 4633,TFH,10430,30,153,97,36,3104439,82753,12/19/2013,P & P,48.02487729,-103.1068033,CROSSLINKED (HC),660,186.67,694.7074293,651.7422748,593.2993645,518.6682738,468.8609467,272645.2312,452779.0378,1
4896,Operator 22,Well 4634,MBH,10025,26,151,99,19,3347200,78081,9/8/2013,Sleeves,47.87869679,-103.4103394,,605.7329,117.2,530.9007232,454.4926583,382.0403243,330.0533275,295.7593688,184186.8089,426578.497,0.25
4897,Operator 2,Well 4635,MBH,9450,30,151,99,9,2652380,77379,9/17/2013,P & P,47.9194236,-103.3529566,,356.583405,151.87,701.9723866,626.660092,513.88341,447.4833808,402.6627219,202512.5689,436047.8684,2
4898,Operator 32,Well 4636,TFH,9243,30,149,96,1,3470160,55472,8/29/2013,Sleeves,47.75968367,-102.9093039,,615.19176,146.83,812.26167,664.1463949,502.3887793,426.7221857,377.7175104,287127.1923,344697.2345,0.25
4899,Operator 11,Well 4637,MBH,9365,32,150,102,14,3670057,137765,10/17/2013,P & P,47.81830639,-103.7003843,SLICKWATER (HC),69.215935,79,521.7291256,315.9653737,250.8327854,220.4762948,203.2160859,109110.9446,429389.04,0
4900,Operator 35,Well 4638,MBH,7087,22,152,94,15,3296440,66701,10/12/2013,P & P,47.99134705,-102.7056706,LINEAR GEL (HC),640.411985,131.05,787.113741,691.025641,539.3710278,421.9555848,361.68913,362302.2409,409035.7769,1
4901,Operator 2,Well 4639,MBH,8885,43,151,99,9,2553640,83938,9/13/2013,P & P,47.91942349,-103.3527118,,660,194.68,759.5332018,710.5084374,638.6094675,570.3886332,508.105961,202569.6948,436027.9331,1
4902,Operator 1,Well 464,TFH,9198,24,160,95,7,2361960,43669,6/2/2010,P & P,48.69214711,-103.0133428,,660,47.74,235.3714661,213.9272409,173.5864563,146.9683688,127.7010739,374319.3304,677539.0668,0
4903,Operator 32,Well 4640,MBH,8552,30,149,96,1,3586660,59651,8/26/2013,Sleeves,47.75968333,-102.9091208,,579.891745,186.78,1086.850756,892.0447074,750.6245891,601.1870845,503.3722332,287170.0805,344682.411,0
4904,Operator 2,Well 4641,MBH,8681,30,151,98,34,3059820,78620,1/20/2014,P & P,47.85073149,-103.202184,CROSSLINKED (HC),383.0059,106.64,562.4260355,495.2662722,394.6745562,327.9421433,282.8265396,229451.0826,399959.045,2.5
4905,Operator 22,Well 4642,TFH,9956,26,151,99,19,3992640,93316.19048,9/6/2013,Sleeves,47.87895722,-103.4103394,,551.4816,105.63,499.4740302,423.7782161,331.4650449,285.1888378,257.2430419,184218.3547,426668.8974,0
4906,Operator 36,Well 4643,TFH,9907,32,150,95,26,2634300,70930,12/18/2013,Sleeves,47.78839307,-102.7956854,LINEAR GEL (HC),608.33354,117.81,706.574622,564.1135218,432.2923515,358.2073197,309.508547,317178.1569,345576.6645,0.5
4907,Operator 36,Well 4644,MBH,9696,30,150,95,26,3018440,64995,12/14/2013,Sleeves,47.78834952,-102.7955918,,647.61602,128.48,684.8126233,535.0756082,455.0295858,399.7698882,349.041201,317194.9331,345554.029,1
4908,Operator 11,Well 4645,TFH,9619,32,152,100,28,3646650,59557,11/28/2013,Sleeves,47.96200561,-103.4967417,,542.7985,106.19,603.0900723,490.9051063,399.0083279,337.4132515,290.9215428,174134.3668,462540.3385,1.25
4909,Operator 2,Well 4646,TFH,8956,30,151,98,34,2977600,82697,1/13/2014,P & P,47.8507316,-103.2023063,CROSSLINKED (HC),383.0059,90.2,574.4575937,459.8290598,350.5807583,280.8021039,238.9984659,229422.4992,399968.986,1.5
4910,Operator 36,Well 4647,MBH,9709,31,149,95,4,8055380,116127,6/11/2014,Sleeves,47.7597282,-102.8394121,CROSSLINKED (HC),587.17605,229.33,1187.080868,1087.694499,870.123822,704.3246402,600.2602455,303521.1702,339106.0301,0.5
4911,Operator 36,Well 4648,MBH,9704,31,150,95,26,3278910,65860,12/11/2013,Sleeves,47.78826241,-102.7954045,LINEAR GEL (HC),471.434385,132.16,765.4832347,577.2627657,496.049748,421.7839141,364.4778654,317228.5078,345508.7464,0
4912,Operator 11,Well 4649,TFH,9656,32,152,100,28,3799334,89349,12/3/2013,Sleeves,47.96187153,-103.4967203,,425.5814,111.52,783.9250493,613.1054131,452.733947,355.8258456,301.0464607,174123.065,462492.0569,3.5
4913,Operator 1,Well 465,TFH,9583,24,160,96,22,3263135,52759,12/2/2010,P & P,48.66276545,-103.0766624,,660,75.15,414.5627876,326.1669954,265.02849,219.9722405,191.6584484,356188.773,672333.1451,0
4914,Operator 2,Well 4650,TFH,8781,30,151,98,34,2678289,78023,1/4/2014,P & P,47.85073172,-103.2024286,,437.344995,83.83,476.5285996,380.3199649,315.9927679,262.1886186,221.4606618,229393.9171,399978.9306,0.5
4915,Operator 38,Well 4651,TFH,8577,31,149,97,18,3027580,50011,10/1/2013,P & P,47.72567559,-103.1520971,CROSSLINKED (HC),660,94.69,491.913215,445.4854263,358.6072759,299.6566586,258.6648039,226147.1017,352462.5152,1.25
4916,Operator 6,Well 4652,MBH,9348,38,145,98,24,3069682,50286,4/8/2014,P & P (cmt.),47.35830456,-103.1041949,,644.807605,97.38,532.7416174,384.3304843,315.5435021,280.4149317,248.3618234,193356.5636,221011.1159,0
4917,Operator 4,Well 4653,MBH,10217,28,149,99,17,3244480,41258,11/26/2013,Sleeves,47.73120879,-103.3789882,LINEAR GEL (HC),660,66.72,485.1084813,303.7256191,233.0977427,193.6956681,167.4391847,173664.7371,372831.8685,3
4918,Operator 38,Well 4654,MBH,8697,34,149,97,18,3324180,60438,9/25/2013,Sleeves,47.72560705,-103.152098,,602.1094,104.39,567.357002,473.7563007,374.6000438,316.8383374,278.9146395,226138.6618,352438.781,0.25
4919,Operator 2,Well 4655,MBH,10003,30,150,100,19,2863880,83700.35714,9/28/2013,P & P,47.79104183,-103.5274759,,405.31937,89.6,415.3188692,357.1005917,288.5820732,250.7341661,220.4114618,146182.3513,405732.759,2.25
4920,Operator 4,Well 4656,MBH,9478,28,149,99,17,2936820,40090,11/25/2013,Sleeves,47.73120919,-103.3791102,,651.123595,66.57,494.8060487,272.5947841,212.6890204,186.9165023,167.466579,173636.2212,372841.9636,2
4921,Operator 36,Well 4657,TFH,9798,34,149,95,6,2884780,70633,10/31/2013,Sleeves,47.75969487,-102.8818673,LINEAR GEL (HC),462.29219,133.79,872.9783037,640.5654175,484.7030462,407.9589451,356.4760026,293561.5051,342498.6173,1.5
4922,Operator 2,Well 4658,TFH,9064,30,149,96,20,3640880,87816,2/23/2014,P & P,47.70444029,-102.9866053,CROSSLINKED (HC),332.7361,117.33,647.6660092,521.0278326,430.4898093,329.2278472,253.0435021,262409.8389,331712.1682,1.5
4923,Operator 2,Well 4659,MBH,9266,30,149,96,20,3751980,85308,2/17/2014,P & P,47.70451732,-102.9866501,CROSSLINKED (HC),332.7361,178.65,1115.516108,888.2423844,711.335744,578.2014756,477.4517861,262408.526,331742.5511,1.25
4924,Operator 1,Well 466,TFH,9204,30,160,96,27,1968510,41363,4/26/2010,P & P,48.661284,-103.062519,,660,55.76,339.2833662,271.860618,214.2724085,174.0813792,149.8767258,359274.184,670692.6655,0
4925,Operator 2,Well 4660,TFH,9940,30,150,100,19,2844540,87871.16667,9/24/2013,P & P,47.79104206,-103.5275981,CROSSLINKED (HC),405.31937,34.42,166.1078238,156.1801446,118.2829279,100.4748338,89.80659654,146153.814,405742.8496,0.5
4926,Operator 4,Well 4661,MBH,9263,28,149,99,17,2538320,44485,11/14/2013,P & P (cmt.),47.73121,-103.3793561,LINEAR GEL (HC),660,90.65,854.8980934,440.7188253,324.4028052,272.0067207,236.5001096,173578.7459,372862.3124,1
4927,Operator 36,Well 4662,MBH,9958,34,149,95,6,3390160,68438,10/26/2013,Sleeves,47.75969202,-102.8819813,CROSSLINKED (HC),253.84317,170.4,772.4194609,668.1459566,608.6072759,525.7031193,465.3490028,293534.4353,342506.7735,0.25
4928,Operator 2,Well 4663,TFH,9868,30,149,96,20,3954596,86561,2/13/2014,P & P,47.70459433,-102.9866907,CROSSLINKED (HC),660,92.46,460.486522,387.6177953,323.1591059,272.1893491,236.4781942,262408.1961,331772.5884,0.25
4929,Operator 2,Well 4664,TFH,9525,30,150,100,19,2724136,83749,10/15/2013,P & P,47.79104229,-103.5277202,CROSSLINKED (HC),449.37806,48.8,268.573307,214.475126,162.3493316,139.9262181,119.5321061,146125.3002,405752.9322,1.75
4930,Operator 2,Well 4665,MBH,4782,15,151,98,9,1546029,38157,10/8/2013,OH,47.91950077,-103.228491,CROSSLINKED (HC),660,66.19,426.1341223,299.1014683,232.0567609,193.933085,169.7649573,231580.7636,425978.87,0
4931,Operator 36,Well 4666,MBH,9718,34,149,95,6,3287640,68412,10/28/2013,Sleeves,47.75968633,-102.8822092,CROSSLINKED (HC),218.769915,149.64,673.339908,550.6026737,513.9546351,463.3903134,407.1334648,293480.3203,342523.0816,1.25
4932,Operator 2,Well 4667,MBH,10267,30,149,96,20,4117721,87148,2/8/2014,P & P,47.70467136,-102.9867354,CROSSLINKED (HC),660,136.19,555.4240631,527.1751041,458.0648696,404.4342173,361.2563007,262406.9067,331802.9632,0
4933,Operator 18,Well 4668,TFH,10037,30,149,99,13,1648364,31679,10/14/2013,Sleeves,47.73158758,-103.302414,CROSSLINKED (HC),660,100.21,785.042735,506.5855797,357.8950252,298.4074805,261.1850756,191641.744,366722.1016,0.75
4934,Operator 4,Well 4669,MBH,9498,30,150,100,13,3173960,41085,9/28/2013,Sleeves,47.81866449,-103.414084,LINEAR GEL (HC),467.717115,110.26,1046.449704,573.3618234,413.3026518,341.7598071,294.3677405,176040.3245,406047.1079,1
4935,Operator 1,Well 467,MBH,9512,24,160,96,24,2530200,43459,7/7/2010,P & P,48.66280446,-103.0232779,,660,70.75,391.9789612,341.0146833,259.5441595,213.0104463,184.7085251,368511.3067,668105.0994,0
4936,Operator 23,Well 4670,MBH,3676,16,152,96,16,2271960,31773,9/7/2013,Sleeves,47.99128076,-102.9636449,CROSSLINKED (HC),660,77.35,364.1025641,315.8010081,273.9809336,236.8361458,207.7032654,302030.8312,429598.807,0
4937,Operator 44,Well 4671,MBH,9307,33,150,96,20,3298354,60774,11/15/2013,P & P,47.79097426,-102.9977505,,614.54598,137.36,736.9165023,610.9467456,493.6938418,426.9303821,371.6387245,270132.1564,362687.7012,0.5
4938,Operator 32,Well 4672,TFH,9420,30,153,95,36,3501560,61898,11/18/2013,Sleeves,48.02446482,-102.8287827,,660,142.53,761.1768573,676.1560377,519.7019505,446.4277887,388.4067499,337471.753,430363.7446,0
4939,Operator 4,Well 4673,MBH,10150,30,150,100,13,3231660,51636,9/24/2013,P & P (cmt.),47.8186646,-103.4142062,LINEAR GEL (HC),533.64164,111.38,1191.913215,590.5654175,415.5380232,343.1623932,294.3540434,176011.773,406057.1154,0
4940,Operator 2,Well 4674,TFH,9272,30,150,95,20,3250920,81682,12/10/2013,P & P,47.79946338,-102.8565316,CROSSLINKED (HC),530.18465,232,1035.502959,825.147929,717.7953101,670.1475637,606.5527066,304231.1426,354297.8217,1
4941,Operator 44,Well 4675,TFH,9306,34,150,96,20,3288475,63249,11/15/2013,P & P,47.79097353,-102.9978808,,644.28785,133.15,674.0959895,623.6576813,506.4102564,421.3054277,360.4563883,270101.5466,362697.9376,1.25
4942,Operator 32,Well 4676,TFH,9548,30,153,95,36,3545340,55084,12/19/2013,Sleeves,48.03471195,-102.8288512,,660,218.48,775.6738988,756.0267368,727.1148367,669.3914822,595.5155599,338673.8074,433935.679,1.25
4943,Operator 4,Well 4677,MBH,9663,29,150,100,26,3162950,38451,8/8/2013,Sleeves,47.78864476,-103.4341251,LINEAR GEL (HC),660,75.36,449.9013807,353.3092264,279.9309665,232.7927533,201.0546789,167717.3756,397265.0785,1
4944,Operator 32,Well 4678,MBH,9543,30,153,95,36,3500300,60341,12/11/2013,Sleeves,48.03458859,-102.8288521,SW-XL HYBRID,660,198.13,782.2813938,768.0363796,691.2228797,598.8896194,525.3616042,338658.9337,433892.8153,0
4945,Operator 23,Well 4679,MBH,9993,32,150,98,6,3601620,63075,8/27/2013,Sleeves,47.84708469,-103.2791783,CROSSLINKED (HC),660,104.44,640.5982906,482.3690554,386.4617576,327.7887355,283.9003945,211010.9277,404934.8614,2
4946,Operator 22,Well 468,TFH,5942,16,161,98,4,2271711,30547,8/25/2010,OH,48.79347823,-103.4027453,,660,20.21,89.31623932,78.05172036,62.2452334,55.36196946,49.23022135,296869.4667,743879.3357,0
4947,Operator 2,Well 4680,TFH,9764,30,150,95,20,3462240,83573,1/28/2014,P & P,47.79962787,-102.8565316,CROSSLINKED (HC),419.04975,210.32,1300.262985,985.3276353,811.7192636,688.651472,581.3390313,304250.7021,354355.0332,2
4948,Operator 11,Well 4681,MBH,9387,32,150,102,11,4013689,54480,10/28/2013,Sleeves,47.82040165,-103.6995864,,406.57728,63.93,426.3971072,271.56476,215.0558843,190.1745927,173.4577033,109553.4061,430049.6962,1
4949,Operator 45,Well 4682,MBH,9339,31,149,101,3,3730589,81158,11/1/2013,P & P,47.76085687,-103.598734,CROSSLINKED (HC),584.850095,90.93,424.7534517,353.2653956,310.6454087,273.9827599,243.6801446,125849.6916,401109.8618,1.25
4950,Operator 32,Well 4683,TFH,9268,30,153,95,36,3560640,55735,12/15/2013,Sleeves,48.03446523,-102.8288529,SW-XL HYBRID,660,198.88,847.8303748,764.0149025,696.3017751,597.6988823,517.5706772,338644.0833,433849.9436,0.25
4951,Operator 36,Well 4684,MBH,9981,30,149,95,6,2898738,57986,11/8/2013,Sleeves,47.75961017,-102.8932914,LINEAR GEL (HC),255.004395,139.95,527.8106509,483.8921762,441.8310322,407.765359,371.2798597,290872.7632,343386.0055,0.5
4952,Operator 45,Well 4685,TFH,9438,31,149,101,3,3368578,75683,11/1/2013,P & P (cmt.),47.76085715,-103.5989375,SW-XL HYBRID,624.891515,60.25,287.8698225,231.4814815,205.6432172,182.6539557,161.9301994,125802.1453,401126.6773,0.5
4953,Operator 32,Well 4686,TFH,9577,30,151,96,1,3402880,54646,11/15/2013,Sleeves,47.93340206,-102.9032907,CROSSLINKED (HC),660,122.88,665.2859961,602.0162174,461.8124041,377.7777778,304.2817226,309228.4745,404631.4709,0
4954,Operator 41,Well 4687,TFH,10066,31,151,100,32,5938848,235084,5/23/2014,P & P,47.84908624,-103.5010135,,639.42129,65.19,345.1676529,270.052597,213.4998904,182.6649134,153.4763314,159419.2166,423704.0208,1.5
4955,Operator 36,Well 4688,MBH,9852,31,149,95,6,3097361,59168,11/13/2013,Sleeves,47.75967615,-102.8930851,LINEAR GEL (HC),277.95241,122.74,472.9125575,427.8983125,404.1968004,372.7554971,341.0146833,290928.9887,343392.3889,1.75
4956,Operator 41,Well 4689,MBH,9479,30,151,101,14,5389445,198313,4/12/2014,P & P,47.90455321,-103.5689092,,633.399655,109.22,648.3234714,424.6438746,335.4317335,294.0609248,266.2283585,150317.6624,448503.4576,4
